id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr
,Given model,val,0.2603373280951363,3.221499389159178,3.987191920646384,13.12.2024,17:44:42,Leila laptop,254,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1301118959514549,3.995550243896351,4.8596115067239465,13.12.2024,17:44:42,Leila laptop,254,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.3368823105757228,2.990912826011877,3.7752489575237935,13.12.2024,17:48:53,Leila laptop,505,False,10,1,64,2,64,uniform,2,128,sum,0.005
,Given model,test,-0.0333743437866871,4.29535057669146,5.296618501937991,13.12.2024,17:48:53,Leila laptop,505,False,10,1,64,2,64,uniform,2,128,sum,0.005
,Given model,val,0.2629518230081188,3.1858159267830706,3.9801388939065054,13.12.2024,17:55:19,Leila laptop,252,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1328805558773128,3.946922066337184,4.8518718133084215,13.12.2024,17:55:19,Leila laptop,252,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2436629332657403,3.2857577897901926,4.0318835674965605,13.12.2024,17:59:29,Leila laptop,502,False,10,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.1358483314392276,4.0326317205763695,4.843561765342962,13.12.2024,17:59:29,Leila laptop,502,False,10,1,128,2,512,uniform,2,128,sum,0.005
