id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr
,Given model,val,0.243127010426403,3.222906601994373,4.033311763965176,13.12.2024,18:35:46,Leila laptop,49,False,10,1,128,1,512,uniform,2,128,sum,0.005
,Given model,test,0.0067462576886286,4.23358511209488,5.192780447261615,13.12.2024,18:35:46,Leila laptop,49,False,10,1,128,1,512,uniform,2,128,sum,0.005
,Given model,val,0.2557823384240498,3.214882645323504,3.999450037592752,13.12.2024,18:36:45,Leila laptop,109,False,10,1,128,1,512,uniform,2,128,sum,0.005
,Given model,test,0.1763199098016419,3.8582954692004017,4.728780332337241,13.12.2024,18:36:45,Leila laptop,109,False,10,1,128,1,512,uniform,2,128,sum,0.005
,Given model,val,0.2512941204614398,3.168145436291385,4.011491824534037,13.12.2024,18:37:41,Leila laptop,164,False,10,1,128,1,512,uniform,2,128,sum,0.005
,Given model,test,0.0227100214706219,4.227636216063248,5.150881734915582,13.12.2024,18:37:41,Leila laptop,164,False,10,1,128,1,512,uniform,2,128,sum,0.005
,Given model,val,0.3134349230701767,2.9304207785892427,3.841414257721762,13.12.2024,18:40:28,Leila laptop,328,False,10,1,64,1,64,uniform,2,128,sum,0.005
,Given model,test,-0.1348919355565914,4.549683088377902,5.550691759643664,13.12.2024,18:40:28,Leila laptop,328,False,10,1,64,1,64,uniform,2,128,sum,0.005
