id,model,val/test,r2,mae,rmse,date,time,where,time_needed,id_awareness,epochs,num_blocks,num_sampled_neighbors,depth,batch_size,temporal_strategy,num_layers,channels,aggr,lr
,Given model,val,0.297693980577158,3.089211490366087,3.885200938765244,13.12.2024,21:11:52,Leila laptop,372,False,50,1,128,2,512,uniform,2,128,sum,0.005
,Given model,test,0.0642509684327733,4.0922148948385,5.040220645970623,13.12.2024,21:11:52,Leila laptop,372,False,50,1,128,2,512,uniform,2,128,sum,0.005
,Given model,val,0.2804728381682148,3.1375462672514525,3.93254667688668,13.12.2024,21:21:05,Leila laptop,925,False,50,1,128,2,512,uniform,4,128,sum,0.005
,Given model,test,-0.0608706619821786,4.303153278819825,5.3666228503207725,13.12.2024,21:21:05,Leila laptop,925,False,50,1,128,2,512,uniform,4,128,sum,0.005
,Given model,val,0.2262107391583384,3.2529999704303627,4.078135378797415,13.12.2024,21:33:28,Leila laptop,1667,False,50,1,128,2,512,uniform,6,128,sum,0.005
,Given model,test,0.04465358924827678,4.123846813042959,5.092725802789871,13.12.2024,21:33:28,Leila laptop,1667,False,50,1,128,2,512,uniform,6,128,sum,0.005
